,previous_qualification,previous_qualification_grade_,mother_s_qualification,father_s_qualification,mother_s_occupation,father_s_occupation,admission_grade,educational_special_needs,gender,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,target
1,1,122.0,19,12,5,9,127.3,0,1,20,0,10.8,1.4,1.74,Dropout
2,1,160.0,1,3,3,3,142.5,0,1,19,0,13.9,-0.3,0.79,Graduate
3,1,122.0,37,37,9,9,124.8,0,1,19,0,10.8,1.4,1.74,Dropout
4,1,122.0,38,37,5,3,119.6,0,0,20,0,9.4,-0.8,-3.12,Graduate
5,1,100.0,37,38,9,9,141.5,0,0,45,0,13.9,-0.3,0.79,Graduate
6,19,133.1,37,37,9,7,114.8,0,1,50,0,16.2,0.3,-0.92,Graduate
7,1,142.0,19,38,7,10,128.4,0,0,18,0,15.5,2.8,-4.06,Graduate
8,1,119.0,37,37,9,9,113.1,0,1,22,0,15.5,2.8,-4.06,Dropout
9,1,137.0,1,1,9,9,129.3,0,0,21,1,16.2,0.3,-0.92,Graduate
10,1,138.0,1,19,4,7,123.0,0,0,18,0,8.9,1.4,3.51,Dropout
11,1,139.0,38,19,5,7,130.6,0,0,18,0,13.9,-0.3,0.79,Graduate
12,1,136.0,19,38,9,9,119.3,0,0,18,0,12.7,3.7,-1.7,Graduate
13,1,133.0,19,37,4,9,130.2,0,0,19,0,12.7,3.7,-1.7,Dropout
14,42,110.0,1,1,4,7,111.8,0,0,21,0,8.9,1.4,3.51,Graduate
15,1,149.0,38,37,5,5,137.1,0,0,18,0,10.8,1.4,1.74,Graduate
16,1,127.0,19,37,9,3,120.7,0,0,20,0,15.5,2.8,-4.06,Dropout
17,1,137.0,19,38,5,8,137.4,0,0,18,0,10.8,1.4,1.74,Enrolled
18,1,135.0,19,1,5,4,127.3,0,0,18,0,15.5,2.8,-4.06,Graduate
19,1,137.0,3,19,3,5,136.3,0,0,20,0,10.8,1.4,1.74,Graduate
20,1,140.0,19,19,7,7,124.6,0,0,18,0,16.2,0.3,-0.92,Enrolled
21,1,122.0,1,1,9,8,120.3,0,0,21,0,11.1,0.6,2.02,Graduate
22,1,127.0,1,38,4,7,121.8,0,0,20,0,12.7,3.7,-1.7,Enrolled
23,1,142.0,19,19,1,1,125.5,0,0,18,0,12.7,3.7,-1.7,Graduate
24,1,125.0,1,38,4,7,114.9,0,0,19,0,11.1,0.6,2.02,Graduate
25,1,126.0,19,19,3,7,123.9,0,0,19,0,11.1,0.6,2.02,Graduate
26,1,151.0,19,38,9,9,157.0,0,0,18,0,7.6,2.6,0.32,Enrolled
27,1,115.0,19,38,7,8,116.4,0,0,21,0,16.2,0.3,-0.92,Graduate
28,1,138.0,19,19,3,3,131.0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
29,1,135.0,19,1,9,9,122.1,0,0,20,0,16.2,0.3,-0.92,Graduate
30,1,127.0,3,3,1,10,118.8,0,1,19,0,16.2,0.3,-0.92,Enrolled
31,39,150.0,4,5,4,2,150.0,0,1,21,0,16.2,0.3,-0.92,Enrolled
32,1,125.0,42,3,125,124,130.0,0,1,20,0,8.9,1.4,3.51,Graduate
33,1,143.0,1,1,4,6,138.8,0,1,18,0,8.9,1.4,3.51,Enrolled
34,1,138.0,19,1,9,5,134.5,0,0,19,0,12.4,0.5,1.79,Graduate
35,1,130.0,2,37,3,9,131.4,0,1,34,0,13.9,-0.3,0.79,Graduate
36,1,130.0,38,37,9,6,102.5,0,1,37,0,8.9,1.4,3.51,Dropout
37,10,133.1,34,37,0,0,128.8,0,1,43,0,7.6,2.6,0.32,Dropout
38,1,140.0,37,37,6,6,122.9,0,0,55,0,16.2,0.3,-0.92,Dropout
39,1,120.0,19,19,9,3,113.9,0,0,39,0,7.6,2.6,0.32,Graduate
40,39,120.0,4,4,3,6,120.0,0,0,20,1,12.4,0.5,1.79,Dropout
41,1,126.0,3,3,2,2,121.1,0,0,18,0,12.7,3.7,-1.7,Dropout
42,1,133.0,3,19,2,7,120.4,0,0,22,0,8.9,1.4,3.51,Graduate
43,1,103.0,1,3,2,2,100.6,1,0,22,0,11.1,0.6,2.02,Graduate
44,1,120.0,1,38,5,5,121.4,0,0,20,0,12.4,0.5,1.79,Dropout
45,1,133.1,37,37,9,9,109.7,0,0,29,0,16.2,0.3,-0.92,Dropout
46,1,154.0,38,38,4,5,134.1,0,0,24,0,7.6,2.6,0.32,Enrolled
